schema_version,generated_at,code_commit_sha,dataset_file_sha256,config_hash,validator_version,status,dataset,context_length,horizon,sampling_seed,requested_rate,selected_train_windows,effective_rate,total_train_windows,nestedness_valid,warnings
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.0,0,0.0,10101,True,
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.005,50,0.00495000495000495,10101,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.01,101,0.00999900999901,10101,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.02,202,0.01999801999802,10101,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.05,505,0.049995049995049994,10101,True,raw_coverage_much_larger_than_window_rate;high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.1,1010,0.09999009999009999,10101,True,raw_coverage_much_larger_than_window_rate;high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.2,2020,0.19998019998019997,10101,True,high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,0.5,5050,0.49995049995049995,10101,True,high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,96,42,1.0,10101,1.0,10101,True,high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.0,0,0.0,10005,True,
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.005,50,0.004997501249375313,10005,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.01,100,0.009995002498750625,10005,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.02,200,0.01999000499750125,10005,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.05,500,0.04997501249375312,10005,True,raw_coverage_much_larger_than_window_rate;high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.1,1000,0.09995002498750624,10005,True,raw_coverage_much_larger_than_window_rate;high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.2,2001,0.2,10005,True,high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,0.5,5002,0.49995002498750624,10005,True,high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,192,42,1.0,10005,1.0,10005,True,high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,336,42,0.0,0,0.0,9861,True,
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,336,42,0.005,49,0.004969070074029003,9861,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,336,42,0.01,98,0.009938140148058007,9861,True,raw_coverage_much_larger_than_window_rate
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,336,42,0.02,197,0.019977689889463544,9861,True,raw_coverage_much_larger_than_window_rate;high_window_overlap
1.0,2026-09-20T11:53:36.910358+00:00,1f59f317f6bf1128dd89b7e15750d6c629bb719c,876035eacc24fdea96a472e83e80c8d1f19356e86f4b759c79ad66a29264f2d0,3369a1508281082433c78fe0083966801b3d7085c521919558dc1265ecbee42f,streaming-long-csv-v1,blocked,ETTh1,256,336,42,0.05,493,0.049994929520332625,9861,True,raw_coverage_much_larger_than_window_rate;high_window_overlap
