dataset,variant,status,public_raw_or_author_acquired,source,fingerprint,rows,channels,shape_basis,frequency_seconds,legacy_frequency_seconds_not_verified_for_new_source,duplicate_timestamps,non_monotonic,irregular_intervals,missing_values,train_constant_channels,preprocessing,license,legacy_bundle_status
ETTh1,ETTh1__official_raw,ready_with_warnings,True,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/1d16c8f4f943005d613b5bc962e9eeb06058cf07/ETT-small/ETTh1.csv,f18de3ad269cef59bb07b5438d79bb3042d3be49bdeecf01c1cd6d29695ee066,17420,7,acquired variant,3600.0,3600.0,0,0,0,0,0,identity,CC-BY-ND-4.0,blocked
ETTh2,ETTh2__official_raw,ready_with_warnings,True,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/1d16c8f4f943005d613b5bc962e9eeb06058cf07/ETT-small/ETTh2.csv,a3dc2c597b9218c7ce1cd55eb77b283fd459a1d09d753063f944967dd6b9218b,17420,7,acquired variant,3600.0,3600.0,0,0,0,0,0,identity,CC-BY-ND-4.0,blocked
ETTm1,ETTm1__official_raw,ready_with_warnings,True,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/1d16c8f4f943005d613b5bc962e9eeb06058cf07/ETT-small/ETTm1.csv,6ce1759b1a18e3328421d5d75fadcb316c449fcd7cec32820c8dafda71986c9e,69680,7,acquired variant,900.0,900.0,0,0,0,0,0,identity,CC-BY-ND-4.0,blocked
ETTm2,ETTm2__official_raw,ready_with_warnings,True,https://raw.githubusercontent.com/zhouhaoyi/ETDataset/1d16c8f4f943005d613b5bc962e9eeb06058cf07/ETT-small/ETTm2.csv,db973ca252c6410a30d0469b13d696cf919648d0f3fd588c60f03fdbdbadd1fd,69680,7,acquired variant,900.0,900.0,0,0,0,0,0,identity,CC-BY-ND-4.0,blocked
Electricity,Electricity__uci370_hourly_2012_2014,ready_with_warnings,True,https://archive.ics.uci.edu/static/public/321/electricityloaddiagrams20112014.zip,51790c599a81173b0e6eb35ae8d5ebd697f47887179aebb8c66d561d6b652e1c,26304,370,acquired variant,3600.0,3600.0,0,0,0,0,22,v1: all 370 clients; 2012-2014; right-closed hour-ending mean kW; no imputation,CC-BY-4.0,blocked
Traffic,Traffic__author_matrix_unreleased,blocked_provenance_or_license,True,https://raw.githubusercontent.com/laiguokun/multivariate-time-series-data/7f402f185cc2435b5e66aed13a3b560ed142e023/traffic/traffic.txt.gz,c7be5a00519d344a5ec0eabdbfec5ea0c7dd1eed5f9b1a3843a93bb88086a56d,17544,862,acquired variant,,3600.0,,,,0,,not fully traceable; blocked,permission_verification_pending,blocked
PEMS08,PEMS08__author_matrix_unreleased,blocked_provenance_or_license,True,https://raw.githubusercontent.com/Davidham3/ASTGCN/d5d40645fa45471f2b473fc49a29ec3f0a993c6d/data/PEMS08/pems08.npz,e1d03ce74e9fb79149e6e7c37c680214822c4a285baa2f42278cacabcd25c075,17856,170,acquired variant,,300.0,,,,0,,not fully traceable; blocked,permission_verification_pending,blocked
Solar,Solar__author_matrix_unreleased,blocked_provenance_or_license,True,https://raw.githubusercontent.com/laiguokun/multivariate-time-series-data/7f402f185cc2435b5e66aed13a3b560ed142e023/solar-energy/solar_AL.txt.gz,1ae9329c3e1032acbb8dd080bfc397c44507006812a715d2788f172820489a1c,52560,137,acquired variant,,600.0,,,,0,,not fully traceable; blocked,permission_verification_pending,blocked
Wind,unresolved,blocked_source_identity,False,,,48673,7,legacy bundle audit only,,900.0,,,,,,not fully traceable; blocked,pending,blocked
AQShunyi,AQShunyi__uci_raw_numeric11,blocked_quality,True,https://archive.ics.uci.edu/static/public/501/beijing%2Bmulti%2Bsite%2Bair%2Bquality%2Bdata.zip,a68017d912b3acb292d520c7f3848289a071c1c7b1727f72dd226e0531fe180f,35064,11,acquired variant,3600.0,3600.0,0,0,0,8040,0,"v1: Shunyi numeric 11 measures, no categorical wd, no NA imputation",CC-BY-4.0,blocked
Exchange,Exchange__author_matrix_unreleased,blocked_provenance_or_license,True,https://raw.githubusercontent.com/laiguokun/multivariate-time-series-data/7f402f185cc2435b5e66aed13a3b560ed142e023/exchange_rate/exchange_rate.txt.gz,6a4fbb561dcdee43f071a83badbeec9223a335552278348656738b556f1c2e9d,7588,8,acquired variant,,86400.0,,,,0,,not fully traceable; blocked,permission_verification_pending,blocked
Weather,Weather__mpi_roof_2020_raw,blocked_quality,True,https://www.bgc-jena.mpg.de/wetter/data/mpi_roof_2020a.zip,3009109032e0781b3de5dadeb304f447ccd69db5658dde22ac4aeef337c3163e,52696,21,acquired variant,600.0,600.0,1,0,2,0,0,v1: concatenate halves; preserve duplicate rows and all numeric channels,CC-BY-4.0,blocked
ZafNoo,unresolved,blocked_source_identity,False,,,19225,11,legacy bundle audit only,,1800.0,,,,,,not fully traceable; blocked,pending,blocked
CzeLan,unresolved,blocked_source_identity,False,,,19934,11,legacy bundle audit only,,1800.0,,,,,,not fully traceable; blocked,pending,blocked
