dataset,source_variant,previous_status,new_status,provenance_grade,technical_validity,normalization_verified,lossless_reshape_verified,official_source_verified,license_verified,reason_codes,evidence_references,resolution_strategy
ETTh1,ETTh1__bundle_long,blocked,blocked,D,valid,legacy_12_month_prefix_standardization,True,True,True,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator;official_values_mismatch;legacy_prefix_standardization_verified,raw_comparison_summary.csv,replace_with_official_raw
ETTh2,ETTh2__bundle_long,blocked,blocked,D,valid,legacy_12_month_prefix_standardization,True,True,True,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator;official_values_mismatch;legacy_prefix_standardization_verified,raw_comparison_summary.csv,replace_with_official_raw
ETTm1,ETTm1__bundle_long,blocked,blocked,D,valid,legacy_12_month_prefix_standardization,True,True,True,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator;official_values_mismatch;legacy_prefix_standardization_verified,raw_comparison_summary.csv,replace_with_official_raw
ETTm2,ETTm2__bundle_long,blocked,blocked,D,valid,legacy_12_month_prefix_standardization,True,True,True,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator;official_values_mismatch;legacy_prefix_standardization_verified,raw_comparison_summary.csv,replace_with_official_raw
Electricity,Electricity__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
Traffic,Traffic__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
PEMS08,PEMS08__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
Solar,Solar__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
Wind,Wind__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
Weather,Weather__bundle_long,blocked,blocked,D,valid_except_duplicates,unknown,False,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator;duplicate_composite_keys;aggregation_would_be_required,transformation_evidence.csv,additional_creation_code_or_official_raw_required
AQShunyi,AQShunyi__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
Exchange,Exchange__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
ZafNoo,ZafNoo__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
CzeLan,CzeLan__bundle_long,blocked,blocked,D,valid,unknown,True,False,False,bundle_creation_transform_not_published;bundle_fingerprint_not_linked_to_creator,transformation_evidence.csv,additional_creation_code_or_official_raw_required
ETTh1,ETTh1__official_raw,not_registered,ready_with_warnings,A,valid,raw_unscaled_official_file,True,True,True,official_repository_file;redistribution_restrictions_apply,raw_comparison_summary.csv;docs/data-provenance.md,independent_reshape_from_official_raw
ETTh2,ETTh2__official_raw,not_registered,ready_with_warnings,A,valid,raw_unscaled_official_file,True,True,True,official_repository_file;redistribution_restrictions_apply,raw_comparison_summary.csv;docs/data-provenance.md,independent_reshape_from_official_raw
ETTm1,ETTm1__official_raw,not_registered,ready_with_warnings,A,valid,raw_unscaled_official_file,True,True,True,official_repository_file;redistribution_restrictions_apply,raw_comparison_summary.csv;docs/data-provenance.md,independent_reshape_from_official_raw
ETTm2,ETTm2__official_raw,not_registered,ready_with_warnings,A,valid,raw_unscaled_official_file,True,True,True,official_repository_file;redistribution_restrictions_apply,raw_comparison_summary.csv;docs/data-provenance.md,independent_reshape_from_official_raw
